Unnamed: 0,id,title,authors,journal,year,doi,first_author,short_title,key
136,22340342,Knee function after anterior cruciate ligament reconstruction with patellar or hamstring tendon: a meta-analysis,"Shi DL, Yao ZJ.",Chin Med J (Engl),2011,,Shi,kneefunctionafteranteriorcruciateligamentreconstructionwithpatellarorhamstringtendon:ametaanalysis,Shi+kneefunctionafteranteriorcruciateligamentreconstructionwithpatellarorhamstringtendon:ametaanalysis+2011
76,3881714,Reconstruction of the anterior cruciate ligament: historical overview,"Burnett QM 2nd, Fowler PJ.",Orthop Clin North Am,1985,,Burnett,reconstructionoftheanteriorcruciateligament:historicaloverview,Burnett+reconstructionoftheanteriorcruciateligament:historicaloverview+1985
44,3881714,Reconstruction of the anterior cruciate ligament: historical overview,"Burnett QM 2nd, Fowler PJ.",Orthop Clin North Am,1985,,Burnett,reconstructionoftheanteriorcruciateligament:historicaloverview,Burnett+reconstructionoftheanteriorcruciateligament:historicaloverview+1985
